Month;Product;Division;Actual Cost ($);Target Overage vs Budget %;Allocated Budget ($);Variance ($);Variance %
Month 2;Customer App;Product Engineering;$1 445,36;3,50%;$1 396,48;$48,88;3,50%
Month 2;Innovation Lab Projects;AI Engineering;$1 322,85;13,00%;$1 170,67;$152,19;13,00%
Month 2;Innovation Lab Projects;Business Analytics;$1 318,03;11,00%;$1 187,41;$130,62;11,00%
Month 2;Innovation Lab Projects;Data Engineering;$1 395,94;12,00%;$1 246,37;$149,56;12,00%
Month 2;Innovation Lab Projects;Platform / Cloud Operations;$839,26;12,50%;$746,01;$93,25;12,50%
Month 2;Innovation Lab Projects;Product Engineering;$1 659,02;11,50%;$1 487,91;$171,11;11,50%
Month 2;Internal Data Platform;AI Engineering;$1 477,71;8,00%;$1 368,25;$109,46;8,00%
Month 2;Internal Data Platform;Business Analytics;$1 460,22;6,00%;$1 377,57;$82,65;6,00%
Month 2;Internal Data Platform;Data Engineering;$1 234,44;7,00%;$1 153,68;$80,76;7,00%
Month 2;Internal Data Platform;Platform / Cloud Operations;$1 312,93;7,50%;$1 221,33;$91,60;7,50%
Month 2;Internal Data Platform;Product Engineering;$1 390,93;6,50%;$1 306,03;$84,89;6,50%
Month 3;AI Assistant;AI Engineering;$997,68;12,00%;$890,78;$106,89;12,00%
Month 3;AI Assistant;Business Analytics;$1 207,21;10,00%;$1 097,46;$109,75;10,00%
Month 3;AI Assistant;Data Engineering;$1 103,75;11,00%;$994,37;$109,38;11,00%
Month 3;AI Assistant;Platform / Cloud Operations;$1 150,50;11,50%;$1 031,83;$118,66;11,50%
Month 3;AI Assistant;Product Engineering;$1 190,81;10,50%;$1 077,65;$113,15;10,50%
Month 3;Analytics Platform;AI Engineering;$1 312,46;7,50%;$1 220,89;$91,57;7,50%
Month 3;Analytics Platform;Business Analytics;$1 726,12;5,50%;$1 636,14;$89,99;5,50%
Month 3;Analytics Platform;Data Engineering;$1 430,73;6,50%;$1 343,41;$87,32;6,50%
Month 3;Analytics Platform;Platform / Cloud Operations;$1 122,96;7,00%;$1 049,49;$73,46;7,00%
Month 3;Analytics Platform;Product Engineering;$1 144,74;6,00%;$1 079,94;$64,80;6,00%
Month 3;Customer App;AI Engineering;$738,36;6,00%;$696,56;$41,79;6,00%
Month 3;Customer App;Business Analytics;$1 181,42;4,00%;$1 135,98;$45,44;4,00%
Month 3;Customer App;Data Engineering;$776,10;5,00%;$739,15;$36,96;5,00%
Month 3;Customer App;Platform / Cloud Operations;$1 448,20;5,50%;$1 372,70;$75,50;5,50%
Month 3;Customer App;Product Engineering;$1 239,18;4,50%;$1 185,82;$53,36;4,50%
Month 3;Innovation Lab Projects;AI Engineering;$914,42;14,00%;$802,13;$112,30;14,00%
Month 3;Innovation Lab Projects;Business Analytics;$1 409,11;12,00%;$1 258,13;$150,98;12,00%
Month 3;Innovation Lab Projects;Data Engineering;$1 467,17;13,00%;$1 298,38;$168,79;13,00%
Month 3;Innovation Lab Projects;Platform / Cloud Operations;$1 297,75;13,50%;$1 143,39;$154,36;13,50%
Month 3;Innovation Lab Projects;Product Engineering;$1 384,41;12,50%;$1 230,59;$153,82;12,50%
Month 3;Internal Data Platform;AI Engineering;$1 345,37;9,00%;$1 234,29;$111,09;9,00%
Month 3;Internal Data Platform;Business Analytics;$1 873,15;7,00%;$1 750,60;$122,54;7,00%
Month 3;Internal Data Platform;Data Engineering;$1 643,90;8,00%;$1 522,13;$121,77;8,00%
Month 3;Internal Data Platform;Platform / Cloud Operations;$1 706,53;8,50%;$1 572,84;$133,69;8,50%
Month 3;Internal Data Platform;Product Engineering;$1 341,73;7,50%;$1 248,12;$93,61;7,50%
