date,day,week,month,product,division,service,usage_value,usage_unit
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Product Engineering,EC2,6.0,hours
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Data Engineering,EC2,4.94,hours
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Data Engineering,Glue,2.21,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Data Engineering,CloudWatch,32.11,GB
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,AI Engineering,CloudWatch,25.76,GB
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,AI Engineering,Redshift,2.53,hours
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,AI Engineering,S3,31.61,GB
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,Glue,4.9,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,CloudWatch,19.32,GB
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,Lambda,7334.0,requests
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Business Analytics,Bedrock,48730.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Business Analytics,Athena,0.01,TB
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Business Analytics,S3,46.99,GB
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,Lambda,27751.0,requests
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,Athena,0.0098,TB
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,EC2,2.28,hours
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,S3,42.86,GB
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,Glue,1.32,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,EC2,2.77,hours
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,Redshift,7.74,hours
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,Athena,0.0129,TB
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,EC2,6.65,hours
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,Bedrock,45533.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,CloudWatch,22.15,GB
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,Redshift,5.56,hours
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,Glue,2.3,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,Bedrock,21701.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,Lambda,11812.0,requests
2025-01-02,Thursday,Week 1,Month 1,Customer App,Product Engineering,Lambda,4424.0,requests
2025-01-02,Thursday,Week 1,Month 1,Customer App,Product Engineering,CloudWatch,42.67,GB
2025-01-02,Thursday,Week 1,Month 1,Customer App,Product Engineering,Bedrock,9914.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Customer App,Data Engineering,Athena,0.0053,TB
2025-01-02,Thursday,Week 1,Month 1,Customer App,Data Engineering,Glue,0.52,DPU_hours
2025-01-02,Thursday,Week 1,Month 1,Customer App,Data Engineering,EC2,3.2,hours
2025-01-02,Thursday,Week 1,Month 1,Customer App,AI Engineering,EC2,3.95,hours
2025-01-02,Thursday,Week 1,Month 1,Customer App,AI Engineering,CloudWatch,21.35,GB
2025-01-02,Thursday,Week 1,Month 1,Customer App,AI Engineering,S3,43.26,GB
2025-01-02,Thursday,Week 1,Month 1,Customer App,Platform / Cloud Operations,CloudWatch,33.91,GB
2025-01-02,Thursday,Week 1,Month 1,Customer App,Platform / Cloud Operations,Bedrock,5526.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Customer App,Platform / Cloud Operations,S3,34.58,GB
2025-01-02,Thursday,Week 1,Month 1,Customer App,Business Analytics,EC2,1.89,hours
2025-01-02,Thursday,Week 1,Month 1,Customer App,Business Analytics,Redshift,7.19,hours
2025-01-02,Thursday,Week 1,Month 1,Customer App,Business Analytics,Bedrock,16717.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Product Engineering,Athena,0.0043,TB
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Product Engineering,Bedrock,23107.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Product Engineering,CloudWatch,24.06,GB
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Data Engineering,Athena,0.0013,TB
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Data Engineering,S3,46.61,GB
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Data Engineering,Bedrock,81190.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,AI Engineering,Athena,0.0131,TB
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,AI Engineering,S3,36.69,GB
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,AI Engineering,Glue,3.66,DPU_hours
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,S3,39.09,GB
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,Bedrock,86090.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,CloudWatch,42.58,GB
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Business Analytics,Glue,2.36,DPU_hours
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Business Analytics,EC2,7.54,hours
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Business Analytics,Athena,0.0011,TB
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Product Engineering,Lambda,12151.0,requests
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Product Engineering,CloudWatch,44.09,GB
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Product Engineering,EC2,6.19,hours
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Data Engineering,Bedrock,12102.0,tokens
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Data Engineering,EC2,4.58,hours
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Data Engineering,Athena,0.0073,TB
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,AI Engineering,Redshift,5.39,hours
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,AI Engineering,S3,34.04,GB
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,AI Engineering,Lambda,39394.0,requests
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,Redshift,6.59,hours
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,Athena,0.0047,TB
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,S3,12.94,GB
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Business Analytics,Bedrock,58141.0,tokens
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Business Analytics,Glue,3.82,DPU_hours
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Business Analytics,Redshift,5.19,hours
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Product Engineering,Athena,0.0059,TB
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Product Engineering,Bedrock,19974.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Product Engineering,CloudWatch,10.91,GB
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Data Engineering,Bedrock,33323.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Data Engineering,EC2,1.05,hours
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Data Engineering,Redshift,4.85,hours
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,AI Engineering,Glue,4.42,DPU_hours
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,AI Engineering,S3,9.91,GB
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,AI Engineering,Bedrock,45541.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,Bedrock,91656.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,Lambda,30766.0,requests
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,CloudWatch,7.78,GB
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Business Analytics,CloudWatch,20.08,GB
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Business Analytics,EC2,1.82,hours
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Business Analytics,Redshift,3.13,hours
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,EC2,5.03,hours
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,Athena,0.0033,TB
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,Redshift,6.39,hours
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,Bedrock,56732.0,tokens
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,CloudWatch,12.57,GB
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,Glue,2.03,DPU_hours
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,Athena,0.0028,TB
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,Redshift,5.97,hours
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,CloudWatch,32.11,GB
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,Athena,0.0076,TB
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,Redshift,2.39,hours
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,S3,22.23,GB
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,CloudWatch,11.53,GB
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,S3,22.98,GB
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,Bedrock,7341.0,tokens
2025-01-03,Friday,Week 1,Month 1,Customer App,Product Engineering,Glue,1.35,DPU_hours
2025-01-03,Friday,Week 1,Month 1,Customer App,Product Engineering,Lambda,26865.0,requests
2025-01-03,Friday,Week 1,Month 1,Customer App,Product Engineering,S3,18.37,GB
2025-01-03,Friday,Week 1,Month 1,Customer App,Data Engineering,Redshift,2.37,hours
2025-01-03,Friday,Week 1,Month 1,Customer App,Data Engineering,Glue,3.25,DPU_hours
2025-01-03,Friday,Week 1,Month 1,Customer App,Data Engineering,Athena,0.0191,TB
2025-01-03,Friday,Week 1,Month 1,Customer App,AI Engineering,Athena,0.0136,TB
2025-01-03,Friday,Week 1,Month 1,Customer App,AI Engineering,S3,27.4,GB
2025-01-03,Friday,Week 1,Month 1,Customer App,AI Engineering,Bedrock,28919.0,tokens
2025-01-03,Friday,Week 1,Month 1,Customer App,Platform / Cloud Operations,S3,33.64,GB
2025-01-03,Friday,Week 1,Month 1,Customer App,Platform / Cloud Operations,Lambda,26375.0,requests
2025-01-03,Friday,Week 1,Month 1,Customer App,Platform / Cloud Operations,Bedrock,74692.0,tokens
2025-01-03,Friday,Week 1,Month 1,Customer App,Business Analytics,EC2,7.1,hours
2025-01-03,Friday,Week 1,Month 1,Customer App,Business Analytics,Athena,0.0089,TB
2025-01-03,Friday,Week 1,Month 1,Customer App,Business Analytics,S3,23.65,GB
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Product Engineering,Glue,1.44,DPU_hours
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Product Engineering,S3,25.92,GB
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Product Engineering,CloudWatch,30.52,GB
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Data Engineering,EC2,5.43,hours
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Data Engineering,Athena,0.0145,TB
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Data Engineering,Redshift,3.76,hours
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,AI Engineering,Lambda,14107.0,requests
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,AI Engineering,CloudWatch,41.54,GB
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,AI Engineering,Redshift,6.67,hours
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,Lambda,16473.0,requests
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,Athena,0.0131,TB
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,EC2,2.13,hours
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Business Analytics,EC2,5.48,hours
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Business Analytics,S3,38.74,GB
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Business Analytics,Lambda,30575.0,requests
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Product Engineering,EC2,3.53,hours
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Product Engineering,S3,33.45,GB
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Product Engineering,Glue,4.14,DPU_hours
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Data Engineering,S3,45.83,GB
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Data Engineering,Bedrock,71167.0,tokens
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Data Engineering,Athena,0.0055,TB
2025-01-03,Friday,Week 1,Month 1,AI Assistant,AI Engineering,Bedrock,69201.0,tokens
2025-01-03,Friday,Week 1,Month 1,AI Assistant,AI Engineering,Lambda,30571.0,requests
2025-01-03,Friday,Week 1,Month 1,AI Assistant,AI Engineering,CloudWatch,25.9,GB
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,Lambda,40368.0,requests
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,Glue,0.91,DPU_hours
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,EC2,7.3,hours
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Business Analytics,Redshift,6.72,hours
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Business Analytics,EC2,5.5,hours
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Business Analytics,Bedrock,22262.0,tokens
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Product Engineering,CloudWatch,34.2,GB
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Product Engineering,Bedrock,26800.0,tokens
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Product Engineering,Athena,0.0107,TB
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Data Engineering,Redshift,1.33,hours
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Data Engineering,Lambda,44195.0,requests
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Data Engineering,CloudWatch,20.38,GB
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,AI Engineering,Athena,0.0074,TB
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,AI Engineering,Lambda,35716.0,requests
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,AI Engineering,Bedrock,6879.0,tokens
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,S3,18.68,GB
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,CloudWatch,19.58,GB
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,Redshift,4.71,hours
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Business Analytics,Lambda,22845.0,requests
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Business Analytics,Athena,0.012,TB
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Business Analytics,Glue,1.58,DPU_hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,CloudWatch,7.73,GB
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,Glue,2.76,DPU_hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,EC2,7.88,hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,Glue,2.43,DPU_hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,Redshift,5.02,hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,S3,40.49,GB
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,Lambda,6369.0,requests
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,Athena,0.0132,TB
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,Redshift,5.6,hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,S3,27.56,GB
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,Redshift,1.76,hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,EC2,5.18,hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,Redshift,6.25,hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,Glue,2.67,DPU_hours
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,Lambda,35962.0,requests
2025-01-04,Saturday,Week 1,Month 1,Customer App,Product Engineering,Lambda,46341.0,requests
2025-01-04,Saturday,Week 1,Month 1,Customer App,Product Engineering,Redshift,5.29,hours
2025-01-04,Saturday,Week 1,Month 1,Customer App,Product Engineering,EC2,1.66,hours
2025-01-04,Saturday,Week 1,Month 1,Customer App,Data Engineering,EC2,5.63,hours
2025-01-04,Saturday,Week 1,Month 1,Customer App,Data Engineering,Bedrock,71780.0,tokens
2025-01-04,Saturday,Week 1,Month 1,Customer App,Data Engineering,S3,25.61,GB
2025-01-04,Saturday,Week 1,Month 1,Customer App,AI Engineering,CloudWatch,25.98,GB
2025-01-04,Saturday,Week 1,Month 1,Customer App,AI Engineering,S3,44.66,GB
2025-01-04,Saturday,Week 1,Month 1,Customer App,AI Engineering,Athena,0.0105,TB
2025-01-04,Saturday,Week 1,Month 1,Customer App,Platform / Cloud Operations,Athena,0.0178,TB
2025-01-04,Saturday,Week 1,Month 1,Customer App,Platform / Cloud Operations,EC2,6.78,hours
2025-01-04,Saturday,Week 1,Month 1,Customer App,Platform / Cloud Operations,Bedrock,97610.0,tokens
2025-01-04,Saturday,Week 1,Month 1,Customer App,Business Analytics,EC2,7.08,hours
2025-01-04,Saturday,Week 1,Month 1,Customer App,Business Analytics,Glue,4.85,DPU_hours
2025-01-04,Saturday,Week 1,Month 1,Customer App,Business Analytics,Redshift,4.99,hours
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Product Engineering,Glue,1.69,DPU_hours
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Product Engineering,Lambda,46965.0,requests
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Product Engineering,Bedrock,92940.0,tokens
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Data Engineering,Lambda,12313.0,requests
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Data Engineering,Athena,0.006,TB
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Data Engineering,Redshift,1.54,hours
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,AI Engineering,EC2,6.98,hours
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,AI Engineering,CloudWatch,22.51,GB
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,AI Engineering,S3,45.26,GB
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,Lambda,13034.0,requests
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,EC2,7.3,hours
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,Athena,0.0193,TB
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Business Analytics,S3,45.11,GB
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Business Analytics,Bedrock,29653.0,tokens
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Business Analytics,EC2,3.32,hours
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Product Engineering,Redshift,4.35,hours
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Product Engineering,CloudWatch,25.61,GB
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Product Engineering,S3,49.11,GB
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Data Engineering,S3,44.01,GB
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Data Engineering,Bedrock,14309.0,tokens
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Data Engineering,Athena,0.0159,TB
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,AI Engineering,CloudWatch,22.29,GB
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,AI Engineering,S3,46.9,GB
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,AI Engineering,EC2,5.75,hours
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,Redshift,6.82,hours
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,EC2,3.71,hours
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,S3,28.09,GB
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Business Analytics,Glue,0.67,DPU_hours
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Business Analytics,Athena,0.0042,TB
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Business Analytics,CloudWatch,47.43,GB
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Product Engineering,S3,14.1,GB
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Product Engineering,Redshift,6.26,hours
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Product Engineering,Glue,1.48,DPU_hours
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Data Engineering,S3,41.88,GB
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Data Engineering,Lambda,32471.0,requests
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Data Engineering,Bedrock,90216.0,tokens
