Date;Day;Week;Month;Product;Division;Actual Cost ($);Target Overage vs Budget %;Allocated Budget ($);Variance ($);Variance %
2025-01-02;Thursday;Week 1;Month 1;AI Assistant;AI Engineering;$6,61;11,50%;$5,93;$0,68;11,50%
2025-01-02;Thursday;Week 1;Month 1;AI Assistant;Business Analytics;$123,57;9,50%;$112,85;$10,72;9,50%
2025-01-02;Thursday;Week 1;Month 1;AI Assistant;Data Engineering;$24,79;10,50%;$22,43;$2,36;10,50%
2025-01-02;Thursday;Week 1;Month 1;AI Assistant;Platform / Cloud Operations;$7,44;11,00%;$6,70;$0,74;11,00%
2025-01-02;Thursday;Week 1;Month 1;AI Assistant;Product Engineering;$22,79;10,00%;$20,72;$2,07;10,00%
2025-01-02;Thursday;Week 1;Month 1;Analytics Platform;AI Engineering;$2,52;7,00%;$2,35;$0,16;7,00%
2025-01-02;Thursday;Week 1;Month 1;Analytics Platform;Business Analytics;$1,95;5,00%;$1,86;$0,09;5,00%
2025-01-02;Thursday;Week 1;Month 1;Analytics Platform;Data Engineering;$163,46;6,00%;$154,21;$9,25;6,00%
2025-01-02;Thursday;Week 1;Month 1;Analytics Platform;Platform / Cloud Operations;$194,37;6,50%;$182,51;$11,86;6,50%
2025-01-02;Thursday;Week 1;Month 1;Analytics Platform;Product Engineering;$58,27;5,50%;$55,23;$3,04;5,50%
2025-01-02;Thursday;Week 1;Month 1;Customer App;AI Engineering;$12,14;5,50%;$11,51;$0,63;5,50%
2025-01-02;Thursday;Week 1;Month 1;Customer App;Business Analytics;$41,43;3,50%;$40,03;$1,40;3,50%
2025-01-02;Thursday;Week 1;Month 1;Customer App;Data Engineering;$0,64;4,50%;$0,61;$0,03;4,50%
2025-01-02;Thursday;Week 1;Month 1;Customer App;Platform / Cloud Operations;$28,80;5,00%;$27,43;$1,37;5,00%
2025-01-02;Thursday;Week 1;Month 1;Customer App;Product Engineering;$41,16;4,00%;$39,58;$1,58;4,00%
2025-01-02;Thursday;Week 1;Month 1;Innovation Lab Projects;AI Engineering;$22,52;13,50%;$19,84;$2,68;13,50%
2025-01-02;Thursday;Week 1;Month 1;Innovation Lab Projects;Business Analytics;$20,98;11,50%;$18,81;$2,16;11,50%
2025-01-02;Thursday;Week 1;Month 1;Innovation Lab Projects;Data Engineering;$120,64;12,50%;$107,24;$13,40;12,50%
2025-01-02;Thursday;Week 1;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$3,13;13,00%;$2,77;$0,36;13,00%
2025-01-02;Thursday;Week 1;Month 1;Innovation Lab Projects;Product Engineering;$7,52;12,00%;$6,72;$0,81;12,00%
2025-01-02;Thursday;Week 1;Month 1;Internal Data Platform;AI Engineering;$93,25;8,50%;$85,95;$7,31;8,50%
2025-01-02;Thursday;Week 1;Month 1;Internal Data Platform;Business Analytics;$13,64;6,50%;$12,81;$0,83;6,50%
2025-01-02;Thursday;Week 1;Month 1;Internal Data Platform;Data Engineering;$72,01;7,50%;$66,99;$5,02;7,50%
2025-01-02;Thursday;Week 1;Month 1;Internal Data Platform;Platform / Cloud Operations;$187,21;8,00%;$173,34;$13,87;8,00%
2025-01-02;Thursday;Week 1;Month 1;Internal Data Platform;Product Engineering;$45,43;7,00%;$42,46;$2,97;7,00%
2025-01-03;Friday;Week 1;Month 1;AI Assistant;AI Engineering;$151,36;11,50%;$135,75;$15,61;11,50%
2025-01-03;Friday;Week 1;Month 1;AI Assistant;Business Analytics;$52,44;9,50%;$47,89;$4,55;9,50%
2025-01-03;Friday;Week 1;Month 1;AI Assistant;Data Engineering;$143,42;10,50%;$129,79;$13,63;10,50%
2025-01-03;Friday;Week 1;Month 1;AI Assistant;Platform / Cloud Operations;$1,28;11,00%;$1,16;$0,13;11,00%
2025-01-03;Friday;Week 1;Month 1;AI Assistant;Product Engineering;$3,01;10,00%;$2,74;$0,27;10,00%
2025-01-03;Friday;Week 1;Month 1;Analytics Platform;AI Engineering;$27,98;7,00%;$26,15;$1,83;7,00%
2025-01-03;Friday;Week 1;Month 1;Analytics Platform;Business Analytics;$1,55;5,00%;$1,48;$0,07;5,00%
2025-01-03;Friday;Week 1;Month 1;Analytics Platform;Data Engineering;$4,78;6,00%;$4,51;$0,27;6,00%
2025-01-03;Friday;Week 1;Month 1;Analytics Platform;Platform / Cloud Operations;$0,32;6,50%;$0,30;$0,02;6,50%
2025-01-03;Friday;Week 1;Month 1;Analytics Platform;Product Engineering;$16,49;5,50%;$15,63;$0,86;5,50%
2025-01-03;Friday;Week 1;Month 1;Customer App;AI Engineering;$58,54;5,50%;$55,48;$3,05;5,50%
2025-01-03;Friday;Week 1;Month 1;Customer App;Business Analytics;$1,44;3,50%;$1,39;$0,05;3,50%
2025-01-03;Friday;Week 1;Month 1;Customer App;Data Engineering;$4,09;4,50%;$3,91;$0,18;4,50%
2025-01-03;Friday;Week 1;Month 1;Customer App;Platform / Cloud Operations;$150,16;5,00%;$143,01;$7,15;5,00%
2025-01-03;Friday;Week 1;Month 1;Customer App;Product Engineering;$1,02;4,00%;$0,98;$0,04;4,00%
2025-01-03;Friday;Week 1;Month 1;Innovation Lab Projects;AI Engineering;$6,12;13,50%;$5,39;$0,73;13,50%
2025-01-03;Friday;Week 1;Month 1;Innovation Lab Projects;Business Analytics;$7,93;11,50%;$7,11;$0,82;11,50%
2025-01-03;Friday;Week 1;Month 1;Innovation Lab Projects;Data Engineering;$7,42;12,50%;$6,60;$0,82;12,50%
2025-01-03;Friday;Week 1;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$3,16;13,00%;$2,79;$0,36;13,00%
2025-01-03;Friday;Week 1;Month 1;Innovation Lab Projects;Product Engineering;$6,03;12,00%;$5,38;$0,65;12,00%
2025-01-03;Friday;Week 1;Month 1;Internal Data Platform;AI Engineering;$13,80;8,50%;$12,72;$1,08;8,50%
2025-01-03;Friday;Week 1;Month 1;Internal Data Platform;Business Analytics;$0,76;6,50%;$0,71;$0,05;6,50%
2025-01-03;Friday;Week 1;Month 1;Internal Data Platform;Data Engineering;$11,64;7,50%;$10,82;$0,81;7,50%
2025-01-03;Friday;Week 1;Month 1;Internal Data Platform;Platform / Cloud Operations;$15,31;8,00%;$14,17;$1,13;8,00%
2025-01-03;Friday;Week 1;Month 1;Internal Data Platform;Product Engineering;$70,75;7,00%;$66,12;$4,63;7,00%
2025-01-04;Saturday;Week 1;Month 1;AI Assistant;AI Engineering;$12,91;11,50%;$11,58;$1,33;11,50%
2025-01-04;Saturday;Week 1;Month 1;AI Assistant;Business Analytics;$24,03;9,50%;$21,95;$2,08;9,50%
2025-01-04;Saturday;Week 1;Month 1;AI Assistant;Data Engineering;$29,71;10,50%;$26,89;$2,82;10,50%
2025-01-04;Saturday;Week 1;Month 1;AI Assistant;Platform / Cloud Operations;$8,46;11,00%;$7,62;$0,84;11,00%
2025-01-04;Saturday;Week 1;Month 1;AI Assistant;Product Engineering;$18,63;10,00%;$16,94;$1,69;10,00%
2025-01-04;Saturday;Week 1;Month 1;Analytics Platform;AI Engineering;$13,13;7,00%;$12,27;$0,86;7,00%
2025-01-04;Saturday;Week 1;Month 1;Analytics Platform;Business Analytics;$60,74;5,00%;$57,85;$2,89;5,00%
2025-01-04;Saturday;Week 1;Month 1;Analytics Platform;Data Engineering;$1,70;6,00%;$1,60;$0,10;6,00%
2025-01-04;Saturday;Week 1;Month 1;Analytics Platform;Platform / Cloud Operations;$0,98;6,50%;$0,92;$0,06;6,50%
2025-01-04;Saturday;Week 1;Month 1;Analytics Platform;Product Engineering;$186,63;5,50%;$176,90;$9,73;5,50%
2025-01-04;Saturday;Week 1;Month 1;Customer App;AI Engineering;$14,07;5,50%;$13,34;$0,73;5,50%
2025-01-04;Saturday;Week 1;Month 1;Customer App;Business Analytics;$8,37;3,50%;$8,09;$0,28;3,50%
2025-01-04;Saturday;Week 1;Month 1;Customer App;Data Engineering;$144,82;4,50%;$138,59;$6,24;4,50%
2025-01-04;Saturday;Week 1;Month 1;Customer App;Platform / Cloud Operations;$196,12;5,00%;$186,78;$9,34;5,00%
2025-01-04;Saturday;Week 1;Month 1;Customer App;Product Engineering;$5,92;4,00%;$5,69;$0,23;4,00%
2025-01-04;Saturday;Week 1;Month 1;Innovation Lab Projects;AI Engineering;$2,52;13,50%;$2,22;$0,30;13,50%
2025-01-04;Saturday;Week 1;Month 1;Innovation Lab Projects;Business Analytics;$87,77;11,50%;$78,72;$9,05;11,50%
2025-01-04;Saturday;Week 1;Month 1;Innovation Lab Projects;Data Engineering;$159,17;12,50%;$141,48;$17,69;12,50%
2025-01-04;Saturday;Week 1;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$8,89;13,00%;$7,86;$1,02;13,00%
2025-01-04;Saturday;Week 1;Month 1;Innovation Lab Projects;Product Engineering;$146,35;12,00%;$130,67;$15,68;12,00%
2025-01-04;Saturday;Week 1;Month 1;Internal Data Platform;AI Engineering;$85,88;8,50%;$79,15;$6,73;8,50%
2025-01-04;Saturday;Week 1;Month 1;Internal Data Platform;Business Analytics;$16,08;6,50%;$15,10;$0,98;6,50%
2025-01-04;Saturday;Week 1;Month 1;Internal Data Platform;Data Engineering;$181,40;7,50%;$168,75;$12,66;7,50%
2025-01-04;Saturday;Week 1;Month 1;Internal Data Platform;Platform / Cloud Operations;$24,24;8,00%;$22,45;$1,80;8,00%
2025-01-04;Saturday;Week 1;Month 1;Internal Data Platform;Product Engineering;$7,74;7,00%;$7,23;$0,51;7,00%
2025-01-05;Sunday;Week 1;Month 1;AI Assistant;AI Engineering;$36,45;11,50%;$32,69;$3,76;11,50%
2025-01-05;Sunday;Week 1;Month 1;AI Assistant;Business Analytics;$163,39;9,50%;$149,22;$14,18;9,50%
2025-01-05;Sunday;Week 1;Month 1;AI Assistant;Data Engineering;$7,18;10,50%;$6,50;$0,68;10,50%
2025-01-05;Sunday;Week 1;Month 1;AI Assistant;Platform / Cloud Operations;$8,82;11,00%;$7,94;$0,87;11,00%
2025-01-05;Sunday;Week 1;Month 1;AI Assistant;Product Engineering;$188,41;10,00%;$171,29;$17,13;10,00%
2025-01-05;Sunday;Week 1;Month 1;Analytics Platform;AI Engineering;$5,63;7,00%;$5,26;$0,37;7,00%
2025-01-05;Sunday;Week 1;Month 1;Analytics Platform;Business Analytics;$7,48;5,00%;$7,12;$0,36;5,00%
2025-01-05;Sunday;Week 1;Month 1;Analytics Platform;Data Engineering;$0,56;6,00%;$0,53;$0,03;6,00%
2025-01-05;Sunday;Week 1;Month 1;Analytics Platform;Platform / Cloud Operations;$5,14;6,50%;$4,83;$0,31;6,50%
2025-01-05;Sunday;Week 1;Month 1;Analytics Platform;Product Engineering;$9,83;5,50%;$9,32;$0,51;5,50%
2025-01-05;Sunday;Week 1;Month 1;Customer App;AI Engineering;$9,01;5,50%;$8,54;$0,47;5,50%
2025-01-05;Sunday;Week 1;Month 1;Customer App;Business Analytics;$4,18;3,50%;$4,04;$0,14;3,50%
2025-01-05;Sunday;Week 1;Month 1;Customer App;Data Engineering;$2,03;4,50%;$1,94;$0,09;4,50%
2025-01-05;Sunday;Week 1;Month 1;Customer App;Platform / Cloud Operations;$2,04;5,00%;$1,94;$0,10;5,00%
2025-01-05;Sunday;Week 1;Month 1;Customer App;Product Engineering;$129,58;4,00%;$124,59;$4,98;4,00%
2025-01-05;Sunday;Week 1;Month 1;Innovation Lab Projects;AI Engineering;$15,37;13,50%;$13,54;$1,83;13,50%
2025-01-05;Sunday;Week 1;Month 1;Innovation Lab Projects;Business Analytics;$6,67;11,50%;$5,98;$0,69;11,50%
2025-01-05;Sunday;Week 1;Month 1;Innovation Lab Projects;Data Engineering;$154,45;12,50%;$137,29;$17,16;12,50%
2025-01-05;Sunday;Week 1;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$23,97;13,00%;$21,21;$2,76;13,00%
2025-01-05;Sunday;Week 1;Month 1;Innovation Lab Projects;Product Engineering;$13,89;12,00%;$12,41;$1,49;12,00%
2025-01-05;Sunday;Week 1;Month 1;Internal Data Platform;AI Engineering;$38,57;8,50%;$35,55;$3,02;8,50%
2025-01-05;Sunday;Week 1;Month 1;Internal Data Platform;Business Analytics;$1,15;6,50%;$1,08;$0,07;6,50%
2025-01-05;Sunday;Week 1;Month 1;Internal Data Platform;Data Engineering;$191,00;7,50%;$177,67;$13,33;7,50%
2025-01-05;Sunday;Week 1;Month 1;Internal Data Platform;Platform / Cloud Operations;$10,78;8,00%;$9,98;$0,80;8,00%
2025-01-05;Sunday;Week 1;Month 1;Internal Data Platform;Product Engineering;$20,09;7,00%;$18,77;$1,31;7,00%
2025-01-06;Monday;Week 2;Month 1;AI Assistant;AI Engineering;$2,03;11,50%;$1,82;$0,21;11,50%
2025-01-06;Monday;Week 2;Month 1;AI Assistant;Business Analytics;$89,53;9,50%;$81,76;$7,77;9,50%
2025-01-06;Monday;Week 2;Month 1;AI Assistant;Data Engineering;$1,19;10,50%;$1,08;$0,11;10,50%
2025-01-06;Monday;Week 2;Month 1;AI Assistant;Platform / Cloud Operations;$12,48;11,00%;$11,24;$1,24;11,00%
2025-01-06;Monday;Week 2;Month 1;AI Assistant;Product Engineering;$13,56;10,00%;$12,32;$1,23;10,00%
2025-01-06;Monday;Week 2;Month 1;Analytics Platform;AI Engineering;$78,71;7,00%;$73,56;$5,15;7,00%
2025-01-06;Monday;Week 2;Month 1;Analytics Platform;Business Analytics;$155,05;5,00%;$147,66;$7,38;5,00%
2025-01-06;Monday;Week 2;Month 1;Analytics Platform;Data Engineering;$10,57;6,00%;$9,97;$0,60;6,00%
2025-01-06;Monday;Week 2;Month 1;Analytics Platform;Platform / Cloud Operations;$121,93;6,50%;$114,49;$7,44;6,50%
2025-01-06;Monday;Week 2;Month 1;Analytics Platform;Product Engineering;$3,19;5,50%;$3,03;$0,17;5,50%
2025-01-06;Monday;Week 2;Month 1;Customer App;AI Engineering;$21,59;5,50%;$20,47;$1,13;5,50%
2025-01-06;Monday;Week 2;Month 1;Customer App;Business Analytics;$16,88;3,50%;$16,31;$0,57;3,50%
2025-01-06;Monday;Week 2;Month 1;Customer App;Data Engineering;$95,41;4,50%;$91,31;$4,11;4,50%
2025-01-06;Monday;Week 2;Month 1;Customer App;Platform / Cloud Operations;$4,10;5,00%;$3,91;$0,20;5,00%
2025-01-06;Monday;Week 2;Month 1;Customer App;Product Engineering;$17,13;4,00%;$16,47;$0,66;4,00%
2025-01-06;Monday;Week 2;Month 1;Innovation Lab Projects;AI Engineering;$3,27;13,50%;$2,88;$0,39;13,50%
2025-01-06;Monday;Week 2;Month 1;Innovation Lab Projects;Business Analytics;$190,34;11,50%;$170,71;$19,63;11,50%
2025-01-06;Monday;Week 2;Month 1;Innovation Lab Projects;Data Engineering;$4,97;12,50%;$4,42;$0,55;12,50%
2025-01-06;Monday;Week 2;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$164,79;13,00%;$145,83;$18,96;13,00%
2025-01-06;Monday;Week 2;Month 1;Innovation Lab Projects;Product Engineering;$0,83;12,00%;$0,74;$0,09;12,00%
2025-01-06;Monday;Week 2;Month 1;Internal Data Platform;AI Engineering;$0,59;8,50%;$0,55;$0,05;8,50%
2025-01-06;Monday;Week 2;Month 1;Internal Data Platform;Business Analytics;$101,38;6,50%;$95,19;$6,19;6,50%
2025-01-06;Monday;Week 2;Month 1;Internal Data Platform;Data Engineering;$101,86;7,50%;$94,75;$7,11;7,50%
2025-01-06;Monday;Week 2;Month 1;Internal Data Platform;Platform / Cloud Operations;$18,69;8,00%;$17,31;$1,38;8,00%
2025-01-06;Monday;Week 2;Month 1;Internal Data Platform;Product Engineering;$27,69;7,00%;$25,88;$1,81;7,00%
2025-01-07;Tuesday;Week 2;Month 1;AI Assistant;AI Engineering;$143,57;11,50%;$128,77;$14,81;11,50%
2025-01-07;Tuesday;Week 2;Month 1;AI Assistant;Business Analytics;$9,92;9,50%;$9,06;$0,86;9,50%
2025-01-07;Tuesday;Week 2;Month 1;AI Assistant;Data Engineering;$186,30;10,50%;$168,60;$17,70;10,50%
2025-01-07;Tuesday;Week 2;Month 1;AI Assistant;Platform / Cloud Operations;$98,02;11,00%;$88,31;$9,71;11,00%
2025-01-07;Tuesday;Week 2;Month 1;AI Assistant;Product Engineering;$189,06;10,00%;$171,88;$17,19;10,00%
2025-01-07;Tuesday;Week 2;Month 1;Analytics Platform;AI Engineering;$21,57;7,00%;$20,16;$1,41;7,00%
2025-01-07;Tuesday;Week 2;Month 1;Analytics Platform;Business Analytics;$104,18;5,00%;$99,22;$4,96;5,00%
2025-01-07;Tuesday;Week 2;Month 1;Analytics Platform;Data Engineering;$3,03;6,00%;$2,86;$0,17;6,00%
2025-01-07;Tuesday;Week 2;Month 1;Analytics Platform;Platform / Cloud Operations;$2,57;6,50%;$2,41;$0,16;6,50%
2025-01-07;Tuesday;Week 2;Month 1;Analytics Platform;Product Engineering;$5,41;5,50%;$5,13;$0,28;5,50%
2025-01-07;Tuesday;Week 2;Month 1;Customer App;AI Engineering;$127,04;5,50%;$120,41;$6,62;5,50%
2025-01-07;Tuesday;Week 2;Month 1;Customer App;Business Analytics;$23,70;3,50%;$22,90;$0,80;3,50%
2025-01-07;Tuesday;Week 2;Month 1;Customer App;Data Engineering;$70,38;4,50%;$67,35;$3,03;4,50%
2025-01-07;Tuesday;Week 2;Month 1;Customer App;Platform / Cloud Operations;$17,22;5,00%;$16,40;$0,82;5,00%
2025-01-07;Tuesday;Week 2;Month 1;Customer App;Product Engineering;$8,19;4,00%;$7,87;$0,31;4,00%
2025-01-07;Tuesday;Week 2;Month 1;Innovation Lab Projects;AI Engineering;$20,06;13,50%;$17,67;$2,39;13,50%
2025-01-07;Tuesday;Week 2;Month 1;Innovation Lab Projects;Business Analytics;$17,58;11,50%;$15,76;$1,81;11,50%
2025-01-07;Tuesday;Week 2;Month 1;Innovation Lab Projects;Data Engineering;$2,34;12,50%;$2,08;$0,26;12,50%
2025-01-07;Tuesday;Week 2;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$6,55;13,00%;$5,80;$0,75;13,00%
2025-01-07;Tuesday;Week 2;Month 1;Innovation Lab Projects;Product Engineering;$18,04;12,00%;$16,10;$1,93;12,00%
2025-01-07;Tuesday;Week 2;Month 1;Internal Data Platform;AI Engineering;$19,34;8,50%;$17,82;$1,51;8,50%
2025-01-07;Tuesday;Week 2;Month 1;Internal Data Platform;Business Analytics;$7,24;6,50%;$6,79;$0,44;6,50%
2025-01-07;Tuesday;Week 2;Month 1;Internal Data Platform;Data Engineering;$198,11;7,50%;$184,29;$13,82;7,50%
2025-01-07;Tuesday;Week 2;Month 1;Internal Data Platform;Platform / Cloud Operations;$2,50;8,00%;$2,32;$0,19;8,00%
2025-01-07;Tuesday;Week 2;Month 1;Internal Data Platform;Product Engineering;$14,64;7,00%;$13,68;$0,96;7,00%
2025-01-08;Wednesday;Week 2;Month 1;AI Assistant;AI Engineering;$15,94;11,50%;$14,29;$1,64;11,50%
2025-01-08;Wednesday;Week 2;Month 1;AI Assistant;Business Analytics;$26,32;9,50%;$24,04;$2,28;9,50%
2025-01-08;Wednesday;Week 2;Month 1;AI Assistant;Data Engineering;$0,81;10,50%;$0,74;$0,08;10,50%
2025-01-08;Wednesday;Week 2;Month 1;AI Assistant;Platform / Cloud Operations;$14,46;11,00%;$13,02;$1,43;11,00%
2025-01-08;Wednesday;Week 2;Month 1;AI Assistant;Product Engineering;$157,82;10,00%;$143,47;$14,35;10,00%
2025-01-08;Wednesday;Week 2;Month 1;Analytics Platform;AI Engineering;$108,30;7,00%;$101,21;$7,08;7,00%
2025-01-08;Wednesday;Week 2;Month 1;Analytics Platform;Business Analytics;$196,47;5,00%;$187,11;$9,36;5,00%
2025-01-08;Wednesday;Week 2;Month 1;Analytics Platform;Data Engineering;$31,63;6,00%;$29,84;$1,79;6,00%
2025-01-08;Wednesday;Week 2;Month 1;Analytics Platform;Platform / Cloud Operations;$29,27;6,50%;$27,49;$1,79;6,50%
2025-01-08;Wednesday;Week 2;Month 1;Analytics Platform;Product Engineering;$136,62;5,50%;$129,50;$7,12;5,50%
2025-01-08;Wednesday;Week 2;Month 1;Customer App;AI Engineering;$59,08;5,50%;$56,00;$3,08;5,50%
2025-01-08;Wednesday;Week 2;Month 1;Customer App;Business Analytics;$72,51;3,50%;$70,06;$2,45;3,50%
2025-01-08;Wednesday;Week 2;Month 1;Customer App;Data Engineering;$191,20;4,50%;$182,96;$8,23;4,50%
2025-01-08;Wednesday;Week 2;Month 1;Customer App;Platform / Cloud Operations;$186,74;5,00%;$177,84;$8,89;5,00%
2025-01-08;Wednesday;Week 2;Month 1;Customer App;Product Engineering;$44,51;4,00%;$42,79;$1,71;4,00%
2025-01-08;Wednesday;Week 2;Month 1;Innovation Lab Projects;AI Engineering;$1,63;13,50%;$1,44;$0,19;13,50%
2025-01-08;Wednesday;Week 2;Month 1;Innovation Lab Projects;Business Analytics;$7,92;11,50%;$7,10;$0,82;11,50%
2025-01-08;Wednesday;Week 2;Month 1;Innovation Lab Projects;Data Engineering;$1,45;12,50%;$1,29;$0,16;12,50%
2025-01-08;Wednesday;Week 2;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$0,94;13,00%;$0,83;$0,11;13,00%
2025-01-08;Wednesday;Week 2;Month 1;Innovation Lab Projects;Product Engineering;$2,12;12,00%;$1,89;$0,23;12,00%
2025-01-08;Wednesday;Week 2;Month 1;Internal Data Platform;AI Engineering;$1,92;8,50%;$1,77;$0,15;8,50%
2025-01-08;Wednesday;Week 2;Month 1;Internal Data Platform;Business Analytics;$114,76;6,50%;$107,76;$7,00;6,50%
2025-01-08;Wednesday;Week 2;Month 1;Internal Data Platform;Data Engineering;$45,08;7,50%;$41,93;$3,14;7,50%
2025-01-08;Wednesday;Week 2;Month 1;Internal Data Platform;Platform / Cloud Operations;$3,09;8,00%;$2,86;$0,23;8,00%
2025-01-08;Wednesday;Week 2;Month 1;Internal Data Platform;Product Engineering;$129,89;7,00%;$121,39;$8,50;7,00%
2025-01-09;Thursday;Week 2;Month 1;AI Assistant;AI Engineering;$6,82;11,50%;$6,12;$0,70;11,50%
2025-01-09;Thursday;Week 2;Month 1;AI Assistant;Business Analytics;$22,12;9,50%;$20,20;$1,92;9,50%
2025-01-09;Thursday;Week 2;Month 1;AI Assistant;Data Engineering;$18,26;10,50%;$16,53;$1,74;10,50%
2025-01-09;Thursday;Week 2;Month 1;AI Assistant;Platform / Cloud Operations;$131,34;11,00%;$118,32;$13,02;11,00%
2025-01-09;Thursday;Week 2;Month 1;AI Assistant;Product Engineering;$2,57;10,00%;$2,33;$0,23;10,00%
2025-01-09;Thursday;Week 2;Month 1;Analytics Platform;AI Engineering;$19,82;7,00%;$18,52;$1,30;7,00%
2025-01-09;Thursday;Week 2;Month 1;Analytics Platform;Business Analytics;$92,91;5,00%;$88,48;$4,42;5,00%
2025-01-09;Thursday;Week 2;Month 1;Analytics Platform;Data Engineering;$5,28;6,00%;$4,98;$0,30;6,00%
2025-01-09;Thursday;Week 2;Month 1;Analytics Platform;Platform / Cloud Operations;$1,95;6,50%;$1,83;$0,12;6,50%
2025-01-09;Thursday;Week 2;Month 1;Analytics Platform;Product Engineering;$191,19;5,50%;$181,22;$9,97;5,50%
2025-01-09;Thursday;Week 2;Month 1;Customer App;AI Engineering;$5,29;5,50%;$5,02;$0,28;5,50%
2025-01-09;Thursday;Week 2;Month 1;Customer App;Business Analytics;$10,96;3,50%;$10,59;$0,37;3,50%
2025-01-09;Thursday;Week 2;Month 1;Customer App;Data Engineering;$7,36;4,50%;$7,04;$0,32;4,50%
2025-01-09;Thursday;Week 2;Month 1;Customer App;Platform / Cloud Operations;$109,09;5,00%;$103,89;$5,19;5,00%
2025-01-09;Thursday;Week 2;Month 1;Customer App;Product Engineering;$4,65;4,00%;$4,47;$0,18;4,00%
2025-01-09;Thursday;Week 2;Month 1;Innovation Lab Projects;AI Engineering;$7,52;13,50%;$6,63;$0,89;13,50%
2025-01-09;Thursday;Week 2;Month 1;Innovation Lab Projects;Business Analytics;$1,84;11,50%;$1,65;$0,19;11,50%
2025-01-09;Thursday;Week 2;Month 1;Innovation Lab Projects;Data Engineering;$193,65;12,50%;$172,13;$21,52;12,50%
2025-01-09;Thursday;Week 2;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$0,44;13,00%;$0,39;$0,05;13,00%
2025-01-09;Thursday;Week 2;Month 1;Innovation Lab Projects;Product Engineering;$11,04;12,00%;$9,85;$1,18;12,00%
