date,day,week,month,product,division,Actual Cost,Date,Day,Week,Month,Product,Division,Allocated Budget ($),Actual Cost ($),Variance ($),Variance %,Target Overage vs Budget %,Variance Recomputed,Variance % Recomputed
2025-01-01,Wednesday,Week 1,Month 1,Customer App,AI Engineering,62.454,2025-01-01,Wednesday,Week 1,Month 1,Customer App,AI Engineering,59.2,62.45,3.26,5.5,5.5,3.253999999999998,5.4966216216216175
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Business Analytics,165.76595,2025-01-01,Wednesday,Week 1,Month 1,Customer App,Business Analytics,160.16,165.77,5.61,3.5,3.5,5.605950000000007,3.500218531468536
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Data Engineering,12.7449,2025-01-01,Wednesday,Week 1,Month 1,Customer App,Data Engineering,12.2,12.74,0.55,4.5,4.5,0.5449000000000002,4.466393442622953
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Platform / Cloud Operations,128.4238,2025-01-01,Wednesday,Week 1,Month 1,Customer App,Platform / Cloud Operations,122.31,128.42,6.12,5.0,5.0,6.113799999999998,4.998610089117814
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Product Engineering,21.349,2025-01-01,Wednesday,Week 1,Month 1,Customer App,Product Engineering,20.53,21.35,0.82,4.0,4.0,0.8189999999999991,3.989283974671208
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,9.221700000000002,2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,8.12,9.22,1.1,13.5,13.5,1.1017000000000028,13.567733990147818
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,44.416362400000004,2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,39.84,44.42,4.58,11.5,11.5,4.576362400000001,11.48685341365462
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,1.89898,2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,1.69,1.9,0.21,12.5,12.5,0.20897999999999994,12.365680473372779
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,108.14580000000001,2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,95.7,108.15,12.44,13.0,13.0,12.445800000000006,13.005015673981196
2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,0.32815019999999995,2025-01-01,Wednesday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,0.29,0.33,0.04,12.0,12.0,0.03815019999999997,13.155241379310334
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,AI Engineering,16.33943,2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,AI Engineering,15.06,16.34,1.28,8.5,8.5,1.2794299999999996,8.49555112881806
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Business Analytics,98.59077,2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Business Analytics,92.57,98.59,6.02,6.5,6.5,6.020770000000013,6.504018580533664
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Data Engineering,17.6202,2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Data Engineering,16.39,17.62,1.23,7.5,7.5,1.2302,7.505796217205613
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,11.8174668,2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,10.94,11.82,0.88,8.0,8.0,0.8774668000000005,8.020720292504576
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Product Engineering,6.1214,2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Product Engineering,5.72,6.12,0.4,7.0,7.0,0.40140000000000065,7.017482517482529
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,AI Engineering,6.6119988,2025-01-02,Thursday,Week 1,Month 1,AI Assistant,AI Engineering,5.93,6.61,0.68,11.5,11.5,0.6819988000000006,11.500822934232726
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Business Analytics,123.568,2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Business Analytics,112.85,123.57,10.72,9.5,9.5,10.718000000000004,9.497563136907402
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Data Engineering,24.7901,2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Data Engineering,22.43,24.79,2.36,10.5,10.5,2.360099999999999,10.522068658047255
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,7.43832,2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,6.7,7.44,0.74,11.0,11.0,0.7383199999999999,11.01970149253731
2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Product Engineering,22.7902302,2025-01-02,Thursday,Week 1,Month 1,AI Assistant,Product Engineering,20.72,22.79,2.07,10.0,10.0,2.070230200000001,9.9914584942085
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,AI Engineering,2.51977,2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,AI Engineering,2.35,2.52,0.16,7.0,7.0,0.16976999999999975,7.224255319148925
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Business Analytics,1.9486999999999999,2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Business Analytics,1.86,1.95,0.09,5.0,5.0,0.08869999999999978,4.7688172043010635
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Data Engineering,163.45853,2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Data Engineering,154.21,163.46,9.25,6.0,6.0,9.248529999999988,5.997360741845528
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,194.36907,2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,182.51,194.37,11.86,6.5,6.5,11.859070000000003,6.497764506054464
2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Product Engineering,58.2655,2025-01-02,Thursday,Week 1,Month 1,Analytics Platform,Product Engineering,55.23,58.27,3.04,5.5,5.5,3.035500000000006,5.496107188122409
2025-01-02,Thursday,Week 1,Month 1,Customer App,AI Engineering,12.14398,2025-01-02,Thursday,Week 1,Month 1,Customer App,AI Engineering,11.51,12.14,0.63,5.5,5.5,0.6339800000000011,5.5080799304952315
2025-01-02,Thursday,Week 1,Month 1,Customer App,Business Analytics,41.426,2025-01-02,Thursday,Week 1,Month 1,Customer App,Business Analytics,40.03,41.43,1.4,3.5,3.5,1.3960000000000008,3.4873844616537615
2025-01-02,Thursday,Week 1,Month 1,Customer App,Data Engineering,0.6393,2025-01-02,Thursday,Week 1,Month 1,Customer App,Data Engineering,0.61,0.64,0.03,4.5,4.5,0.029299999999999993,4.803278688524589
2025-01-02,Thursday,Week 1,Month 1,Customer App,Platform / Cloud Operations,28.802339999999997,2025-01-02,Thursday,Week 1,Month 1,Customer App,Platform / Cloud Operations,27.43,28.8,1.37,5.0,5.0,1.3723399999999977,5.0030623405030905
2025-01-02,Thursday,Week 1,Month 1,Customer App,Product Engineering,41.163884800000005,2025-01-02,Thursday,Week 1,Month 1,Customer App,Product Engineering,39.58,41.16,1.58,4.0,4.0,1.583884800000007,4.001730166750902
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,22.5166,2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,19.84,22.52,2.68,13.5,13.5,2.6766000000000005,13.490927419354842
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,20.975540000000002,2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,18.81,20.98,2.16,11.5,11.5,2.1655400000000036,11.512706007442869
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,120.6422,2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,107.24,120.64,13.4,12.5,12.5,13.402200000000008,12.497389033942566
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,3.13049,2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,2.77,3.13,0.36,13.0,13.0,0.36049,13.014079422382672
2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,7.5213,2025-01-02,Thursday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,6.72,7.52,0.81,12.0,12.0,0.8013000000000003,11.92410714285715
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,AI Engineering,93.25473000000001,2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,AI Engineering,85.95,93.25,7.31,8.5,8.5,7.304730000000006,8.498813263525312
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Business Analytics,13.6388,2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Business Analytics,12.81,13.64,0.83,6.5,6.5,0.8287999999999993,6.469945355191251
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Data Engineering,72.01,2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Data Engineering,66.99,72.01,5.02,7.5,7.5,5.02000000000001,7.493655769517854
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,187.2081532,2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,173.34,187.21,13.87,8.0,8.0,13.868153199999995,8.000549901926846
2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Product Engineering,45.4325,2025-01-02,Thursday,Week 1,Month 1,Internal Data Platform,Product Engineering,42.46,45.43,2.97,7.0,7.0,2.9724999999999966,7.0007065473386625
2025-01-03,Friday,Week 1,Month 1,AI Assistant,AI Engineering,151.35811420000002,2025-01-03,Friday,Week 1,Month 1,AI Assistant,AI Engineering,135.75,151.36,15.61,11.5,11.5,15.608114200000017,11.49769001841622
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Business Analytics,52.4416,2025-01-03,Friday,Week 1,Month 1,AI Assistant,Business Analytics,47.89,52.44,4.55,9.5,9.5,4.5516000000000005,9.50428064314053
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Data Engineering,143.41559,2025-01-03,Friday,Week 1,Month 1,AI Assistant,Data Engineering,129.79,143.42,13.63,10.5,10.5,13.625590000000017,10.4981816780954
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,1.2844736,2025-01-03,Friday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,1.16,1.28,0.13,11.0,11.0,0.12447360000000018,10.730482758620706
2025-01-03,Friday,Week 1,Month 1,AI Assistant,Product Engineering,3.01455,2025-01-03,Friday,Week 1,Month 1,AI Assistant,Product Engineering,2.74,3.01,0.27,10.0,10.0,0.2745499999999996,10.020072992700715
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,AI Engineering,27.9764214,2025-01-03,Friday,Week 1,Month 1,Analytics Platform,AI Engineering,26.15,27.98,1.83,7.0,7.0,1.826421400000001,6.9844030592734265
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Business Analytics,1.5547350000000002,2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Business Analytics,1.48,1.55,0.07,5.0,5.0,0.07473500000000022,5.049662162162177
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Data Engineering,4.7849,2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Data Engineering,4.51,4.78,0.27,6.0,6.0,0.2749000000000006,6.095343680709548
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,0.3243946,2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,0.3,0.32,0.02,6.5,6.5,0.02439459999999999,8.13153333333333
2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Product Engineering,16.48976,2025-01-03,Friday,Week 1,Month 1,Analytics Platform,Product Engineering,15.63,16.49,0.86,5.5,5.5,0.8597599999999996,5.500703774792064
2025-01-03,Friday,Week 1,Month 1,Customer App,AI Engineering,58.5362,2025-01-03,Friday,Week 1,Month 1,Customer App,AI Engineering,55.48,58.54,3.05,5.5,5.5,3.056200000000004,5.508651766402315
2025-01-03,Friday,Week 1,Month 1,Customer App,Business Analytics,1.4404499999999998,2025-01-03,Friday,Week 1,Month 1,Customer App,Business Analytics,1.39,1.44,0.05,3.5,3.5,0.050449999999999884,3.6294964028776895
2025-01-03,Friday,Week 1,Month 1,Customer App,Data Engineering,4.0851,2025-01-03,Friday,Week 1,Month 1,Customer App,Data Engineering,3.91,4.09,0.18,4.5,4.5,0.1750999999999996,4.478260869565206
2025-01-03,Friday,Week 1,Month 1,Customer App,Platform / Cloud Operations,150.16299500000002,2025-01-03,Friday,Week 1,Month 1,Customer App,Platform / Cloud Operations,143.01,150.16,7.15,5.0,5.0,7.152995000000033,5.0017446332424536
2025-01-03,Friday,Week 1,Month 1,Customer App,Product Engineering,1.021883,2025-01-03,Friday,Week 1,Month 1,Customer App,Product Engineering,0.98,1.02,0.04,4.0,4.0,0.041883000000000115,4.273775510204094
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,6.1152738,2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,5.39,6.12,0.73,13.5,13.5,0.7252738000000001,13.455914656771803
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,7.9319924,2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,7.11,7.93,0.82,11.5,11.5,0.8219924000000001,11.561074542897327
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,7.42207,2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,6.6,7.42,0.82,12.5,12.5,0.8220700000000001,12.455606060606064
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,3.1562799999999998,2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,2.79,3.16,0.36,13.0,13.0,0.3662799999999997,13.12831541218637
2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,6.025,2025-01-03,Friday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,5.38,6.03,0.65,12.0,12.0,0.6450000000000005,11.988847583643132
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,AI Engineering,13.802143200000001,2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,AI Engineering,12.72,13.8,1.08,8.5,8.5,1.0821432000000009,8.50741509433963
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Business Analytics,0.759769,2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Business Analytics,0.71,0.76,0.05,6.5,6.5,0.04976900000000006,7.009718309859164
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Data Engineering,11.635239,2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Data Engineering,10.82,11.64,0.81,7.5,7.5,0.815239,7.534556377079483
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,15.306439999999998,2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,14.17,15.31,1.13,8.0,8.0,1.1364399999999986,8.020042342978112
2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Product Engineering,70.7535,2025-01-03,Friday,Week 1,Month 1,Internal Data Platform,Product Engineering,66.12,70.75,4.63,7.0,7.0,4.633499999999998,7.007713248638835
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,AI Engineering,12.913699999999999,2025-01-04,Saturday,Week 1,Month 1,AI Assistant,AI Engineering,11.58,12.91,1.33,11.5,11.5,1.3336999999999986,11.517271157167517
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Business Analytics,24.0308,2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Business Analytics,21.95,24.03,2.08,9.5,9.5,2.0808,9.479726651480638
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Data Engineering,29.70973,2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Data Engineering,26.89,29.71,2.82,10.5,10.5,2.81973,10.486165860914838
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,8.45687,2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,7.62,8.46,0.84,11.0,11.0,0.8368700000000002,10.982545931758533
2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Product Engineering,18.63253,2025-01-04,Saturday,Week 1,Month 1,AI Assistant,Product Engineering,16.94,18.63,1.69,10.0,10.0,1.6925299999999979,9.991322314049574
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,AI Engineering,13.13358,2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,AI Engineering,12.27,13.13,0.86,7.0,7.0,0.8635800000000007,7.03814180929096
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Business Analytics,60.74193,2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Business Analytics,57.85,60.74,2.89,5.0,5.0,2.891930000000002,4.999014693172
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Data Engineering,1.6956626000000001,2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Data Engineering,1.6,1.7,0.1,6.0,6.0,0.09566260000000004,5.9789125000000025
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,0.9751068,2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,0.92,0.98,0.06,6.5,6.5,0.05510680000000001,5.989869565217392
2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Product Engineering,186.632993,2025-01-04,Saturday,Week 1,Month 1,Analytics Platform,Product Engineering,176.9,186.63,9.73,5.5,5.5,9.732992999999993,5.501974561899374
2025-01-04,Saturday,Week 1,Month 1,Customer App,AI Engineering,14.06968,2025-01-04,Saturday,Week 1,Month 1,Customer App,AI Engineering,13.34,14.07,0.73,5.5,5.5,0.7296800000000001,5.469865067466268
2025-01-04,Saturday,Week 1,Month 1,Customer App,Business Analytics,8.372800000000002,2025-01-04,Saturday,Week 1,Month 1,Customer App,Business Analytics,8.09,8.37,0.28,3.5,3.5,0.2828000000000017,3.4956736711990324
2025-01-04,Saturday,Week 1,Month 1,Customer App,Data Engineering,144.82463,2025-01-04,Saturday,Week 1,Month 1,Customer App,Data Engineering,138.59,144.82,6.24,4.5,4.5,6.23463000000001,4.498614618659362
2025-01-04,Saturday,Week 1,Month 1,Customer App,Platform / Cloud Operations,196.1226,2025-01-04,Saturday,Week 1,Month 1,Customer App,Platform / Cloud Operations,186.78,196.12,9.34,5.0,5.0,9.342600000000004,5.00192740122069
2025-01-04,Saturday,Week 1,Month 1,Customer App,Product Engineering,5.921668200000001,2025-01-04,Saturday,Week 1,Month 1,Customer App,Product Engineering,5.69,5.92,0.23,4.0,4.0,0.23166820000000055,4.0714973637961425
2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,2.51997,2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,2.22,2.52,0.3,13.5,13.5,0.2999699999999996,13.512162162162145
2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,87.77498000000001,2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,Business Analytics,78.72,87.77,9.05,11.5,11.5,9.054980000000015,11.502769308943108
2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,159.1702,2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,Data Engineering,141.48,159.17,17.69,12.5,12.5,17.690200000000004,12.503675431156353
2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,8.8857356,2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,Platform / Cloud Operations,7.86,8.89,1.02,13.0,13.0,1.0257356,13.050071246819336
2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,146.3522394,2025-01-04,Saturday,Week 1,Month 1,Innovation Lab Projects,Product Engineering,130.67,146.35,15.68,12.0,12.0,15.682239400000014,12.001407668171742
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,AI Engineering,85.8778264,2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,AI Engineering,79.15,85.88,6.73,8.5,8.5,6.727826399999998,8.50009652558433
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Business Analytics,16.084,2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Business Analytics,15.1,16.08,0.98,6.5,6.5,0.984,6.516556291390728
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Data Engineering,181.40173420000002,2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Data Engineering,168.75,181.4,12.66,7.5,7.5,12.651734200000021,7.497323970370383
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,24.241056599999997,2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Platform / Cloud Operations,22.45,24.24,1.8,8.0,8.0,1.7910565999999974,7.977980400890858
2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Product Engineering,7.736300000000001,2025-01-04,Saturday,Week 1,Month 1,Internal Data Platform,Product Engineering,7.23,7.74,0.51,7.0,7.0,0.5063000000000004,7.0027662517289135
2025-01-05,Sunday,Week 1,Month 1,AI Assistant,AI Engineering,36.4509156,2025-01-05,Sunday,Week 1,Month 1,AI Assistant,AI Engineering,32.69,36.45,3.76,11.5,11.5,3.760915600000004,11.504789232181109
2025-01-05,Sunday,Week 1,Month 1,AI Assistant,Business Analytics,163.39466,2025-01-05,Sunday,Week 1,Month 1,AI Assistant,Business Analytics,149.22,163.39,14.18,9.5,9.5,14.174659999999989,9.499169012196749
2025-01-05,Sunday,Week 1,Month 1,AI Assistant,Data Engineering,7.1772,2025-01-05,Sunday,Week 1,Month 1,AI Assistant,Data Engineering,6.5,7.18,0.68,10.5,10.5,0.6772,10.418461538461539
2025-01-05,Sunday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,8.817,2025-01-05,Sunday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,7.94,8.82,0.87,11.0,11.0,0.8769999999999998,11.045340050377831
2025-01-05,Sunday,Week 1,Month 1,AI Assistant,Product Engineering,188.41379999999998,2025-01-05,Sunday,Week 1,Month 1,AI Assistant,Product Engineering,171.29,188.41,17.13,10.0,10.0,17.12379999999999,9.996964212738623
2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,AI Engineering,5.62751,2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,AI Engineering,5.26,5.63,0.37,7.0,7.0,0.3675100000000002,6.986882129277571
2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,Business Analytics,7.479500000000001,2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,Business Analytics,7.12,7.48,0.36,5.0,5.0,0.3595000000000006,5.049157303370795
2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,Data Engineering,0.56435,2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,Data Engineering,0.53,0.56,0.03,6.0,6.0,0.03434999999999999,6.481132075471696
2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,5.139600000000001,2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,4.83,5.14,0.31,6.5,6.5,0.30960000000000054,6.409937888198769
2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,Product Engineering,9.828232400000001,2025-01-05,Sunday,Week 1,Month 1,Analytics Platform,Product Engineering,9.32,9.83,0.51,5.5,5.5,0.5082324000000007,5.453137339055801
2025-01-05,Sunday,Week 1,Month 1,Customer App,AI Engineering,9.014700000000001,2025-01-05,Sunday,Week 1,Month 1,Customer App,AI Engineering,8.54,9.01,0.47,5.5,5.5,0.4747000000000021,5.558548009367707
2025-01-05,Sunday,Week 1,Month 1,Customer App,Business Analytics,4.1792438,2025-01-05,Sunday,Week 1,Month 1,Customer App,Business Analytics,4.04,4.18,0.14,3.5,3.5,0.13924380000000003,3.446628712871288
2025-01-05,Sunday,Week 1,Month 1,Customer App,Data Engineering,2.027522,2025-01-05,Sunday,Week 1,Month 1,Customer App,Data Engineering,1.94,2.03,0.09,4.5,4.5,0.08752199999999988,4.511443298969066
2025-01-05,Sunday,Week 1,Month 1,Customer App,Platform / Cloud Operations,2.03583,2025-01-05,Sunday,Week 1,Month 1,Customer App,Platform / Cloud Operations,1.94,2.04,0.1,5.0,5.0,0.09582999999999986,4.939690721649478
2025-01-05,Sunday,Week 1,Month 1,Customer App,Product Engineering,129.5783672,2025-01-05,Sunday,Week 1,Month 1,Customer App,Product Engineering,124.59,129.58,4.98,4.0,4.0,4.988367199999999,4.003826310297775
2025-01-05,Sunday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,15.3651658,2025-01-05,Sunday,Week 1,Month 1,Innovation Lab Projects,AI Engineering,13.54,15.37,1.83,13.5,13.5,1.8251658000000006,13.479806499261453
